stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\Display\Debug\allegro5.cfg r
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Admin\source\repos\Kursach\Corovans\Display\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
dtor     D               dtor.c:196  _al_register_destructor          [   0.00125] added dtor for timer 01023E80, func 510A168B
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00411] Also searching C:\Users\Admin\source\repos\Kursach\Corovans\Display\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00466] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00474] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.01535] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.26745] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.27022] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.27036] al_display=010CDF28
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.27044] al_display->vt=0106C598
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.32258] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.32275] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32285] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32291] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32300] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32313] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32320] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32327] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32333] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32340] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32347] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32354] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32360] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32367] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32373] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32381] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32387] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32412] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32427] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32440] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32446] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32454] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32460] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32467] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32473] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32481] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32494] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32501] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32508] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32522] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32528] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32535] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32541] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32549] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32555] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32562] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32568] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32576] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32582] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32589] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32595] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32604] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32610] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32618] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32640] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32654] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.32660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32668] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.32674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32681] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.32695] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.32702] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32710] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.32716] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32723] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.32729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32737] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.32743] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32750] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.32756] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32764] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.32770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.32777] Score is : 713
