stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\x64\Debug\allegro5.cfg r
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Admin\source\repos\Kursach\Corovans\x64\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00113] Also searching C:\Users\Admin\source\repos\Kursach\Corovans\x64\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00196] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00208] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.02500] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.32387] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.32809] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.32825] al_display=000001A7545A4530
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.32831] al_display->vt=000001A7544E9660
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.40191] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.40206] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40216] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40222] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40230] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40236] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40243] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40250] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40257] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.40263] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40271] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40277] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40284] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40297] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40303] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40310] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40316] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40323] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40347] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40355] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40361] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40368] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40374] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40381] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40387] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40394] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.40400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40407] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40413] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40420] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40426] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40433] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40446] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40452] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40459] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40465] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40472] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40478] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40485] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40491] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40498] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40504] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40511] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.40516] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40523] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40529] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40536] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40542] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40550] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40563] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40569] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40576] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40582] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40589] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40595] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40602] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40608] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40615] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40621] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40628] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.40634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40641] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40647] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40655] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40661] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40668] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40681] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40694] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40700] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40707] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40713] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40720] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40726] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40733] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40738] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40746] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.40752] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40759] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.40765] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40772] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.40779] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40786] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.40791] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40798] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.40804] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40811] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.40817] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40824] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40830] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.40837] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.40845] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40855] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.40861] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.40868] Score is : 721
